Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C_0402_1005Metric,5,100nF,C1525
C6,C_0402_1005Metric,1,1uF,C52923
D1,SOT-23,1,BAT54C,C37704
"D2, D3, D4, D5, D6, D7, D8",LED_0603_1608Metric,7,LED,C72041
J1,MicroXNJ,1,USB_B_Micro,C404969
"J2, J3",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,DNP
"R1, R2, R4",R_0402_1005Metric,3,470,C25117
"R10, R11, R12, R13, R8, R9",R_0402_1005Metric,6,220,C25091
"R14, R15, R16, R3, R5",R_0402_1005Metric,5,680,C25130
R6,R_0402_1005Metric,1,0,C17168
R7,R_0402_1005Metric,1,47k,C25792
SW1,SW_SP3T_PCM13,1,SW_SP3T,C160878
"SW2, SW3, SW4, SW5, SW6, SW7",SW_SPST_TL3342,6,SW_Push,C318884
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,DNP
U1,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U2,TSSOP-16_4.4x5mm_P0.65mm,1,4053,C106760
"U3, U4",VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,2,ATtiny1616-M,C507118
