Designator,Mid X,Mid Y,Rotation,Layer
C1,119.465,-82.55,90.0,top
C2,119.465,-78.74,-90.0,top
C3,122.555,-75.565,0.0,top
C4,130.556,-81.153,90.0,top
C5,130.556,-91.158,90.0,top
C6,120.65,-73.025,90.0,top
D1,114.554,-87.122,0.0,top
D2,153.645,-71.125,0.0,top
D3,163.17,-80.65,0.0,top
D4,153.645,-90.175,0.0,top
D5,144.323,-80.65,0.0,top
D6,104.852718,-86.36,180.0,top
D7,104.852718,-90.805,180.0,top
D8,104.852718,-95.25,180.0,top
J1,114.935,-70.501,0.0,top
J2,125.73,-73.025,90.0,top
J3,136.54,-73.03,90.0,top
R1,118.364,-85.852,180.0,top
R10,148.336,-94.62,90.0,top
R11,144.323,-88.905,0.0,top
R12,110.236,-87.248,180.0,top
R13,110.236,-84.584,180.0,top
R14,101.677718,-86.36,180.0,top
R15,101.677718,-90.805,180.0,top
R16,101.677718,-95.25,180.0,top
R2,161.036,-71.626,90.0,top
R3,165.608,-71.626,90.0,top
R4,164.084,-71.628,90.0,top
R5,162.56,-71.626,90.0,top
R6,118.364,-88.392,0.0,top
R7,107.315,-81.915,0.0,top
R8,153.645,-79.38,0.0,top
R9,163.17,-88.905,0.0,top
SW1,101.6,-74.93,-90.0,top
SW2,153.645,-75.57,0.0,top
SW3,163.17,-85.095,0.0,top
SW4,153.645,-94.62,0.0,top
SW5,144.323,-85.095,0.0,top
SW6,113.03,-94.488,0.0,top
SW7,123.825,-94.488,0.0,top
U1,114.385,-80.645,0.0,top
U2,124.46,-80.645,90.0,top
U3,133.858,-80.264,0.0,top
U4,133.858,-90.17,0.0,top
